Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Skills,Salary Info,Source
12/10/2024,DevOps Engineer,Software Engineer CCJava-based web development experience,Search Square,company Logo,South Korea,"Cheoin-gu, Yongin-si, Gyeonggi-do","DevOps, Linux, Solutions, Python, C",N/A,saramin.co.kr
11/29/2024,DevOps Engineer,ICT solution company Application Archtect,Jumanpowerkorea,company Logo,South Korea,"Map of Gangseo-gu, Seoul","Data Engineer, DevOps, Network, Solutions, Cloud",N/A,saramin.co.kr
11/06/2024,DevOps Engineer,Big Tech Plus Backend Engineer Recruitment,Big Tech Plus Stocks,company Logo,South Korea,"Map of Yeongdeungpo-gu, Seoul","SE System Engineer, DevOps, Network, Solution, Cloud",N/A,saramin.co.kr
12/05/2024,DevOps Engineer,Software Engineer,Jumind AI,company Logo,South Korea,"Map of Gangseo-gu, Seoul","DevOps, Infrastructure, Solutions, Cloud, Python",N/A,saramin.co.kr
07/01/2024,DevOps Engineer,KOSDAQ listed company Eight new and experienced recruits,Eight weeks,company Logo,South Korea,"Map of Songpa-gu, Seoul","SE System Engineer, Data Engineer, DevOps, Network, Linux",N/A,saramin.co.kr
12/09/2024,DevOps Engineer,Recruiting 45 years of experience as a systems engineer,Stock price data,company Logo,South Korea,"Gyeongnam whole, Gyeongnam Jinju city","SE System Engineer, DevOps, Linux, Infrastructure, Solutions",N/A,saramin.co.kr
10/24/2024,DevOps Engineer,Recruiting Development Lab System Cloud Engineers,"Gaon Platform Co., Ltd.",company Logo,South Korea,Daejeon Yuseong-gu map,"SE System Engineer, DevOps, Network, Linux, Infrastructure",N/A,saramin.co.kr
12/03/2024,DevOps Engineer,Anyang Sangju Network Engineer Full-time Recruitment,Juringnet,company Logo,South Korea,"Gyeonggi Province, Gyeonggi Province Anyang City","SE System Engineer, DevOps, Network, Infrastructure, Technical Support",N/A,saramin.co.kr
12/03/2024,DevOps Engineer,Gyeonggi Network Engineer Full-time Recruitment,Juringnet,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Gwacheon-si","SE System Engineer, DevOps, Network, Infrastructure, Technical Support",N/A,saramin.co.kr
12/03/2024,DevOps Engineer,Network Engineer Full-time Recruitment,Juringnet,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Uiwang-si","SE System Engineer, DevOps, Network, Infrastructure, Technical Support",N/A,saramin.co.kr
12/03/2024,DevOps Engineer,Hiring Observability and Cloud Solutions Engineers,Jooitech System,company Logo,South Korea,"Map of Jung-gu, Seoul","SE System Engineer, DevOps, Infrastructure, Solutions, Technical Support",N/A,saramin.co.kr
12/03/2024,DevOps Engineer,Corporate Vision Engineer Career Position for Large Enterprise Investment Company Automation Solutions,Jucarrier and Scout,company Logo,South Korea,"Map of Osan City, Gyeonggi Province","DevOps, Solutions, Python, C, Algorithm",N/A,saramin.co.kr
11/13/2024,DevOps Engineer,Network Engineer,Juglobal Cornet,company Logo,South Korea,"Gyeonggi Province, Gyeonggi Province Anyang City","SE System Engineer, DevOps, Network, Infrastructure, Information Security",N/A,saramin.co.kr
12/09/2024,DevOps Engineer,Famous Semiconductor Fabless Software Architecture Engineer S,Line search,company Logo,South Korea,"Map of Bundang-gu, Seongnam-si, Gyeonggi-do","DevOps, Technical Engineer, Linux, Solutions, Python",N/A,saramin.co.kr
12/09/2024,DevOps Engineer,Backend Engineer Professional Researcher Possible Experience 2 to 4 years,Jukyupix,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Seongnam-si","DevOps, Infrastructure, Cloud, Python, Java",N/A,saramin.co.kr
11/12/2024,DevOps Engineer,T Map Mobility Developer Recruitment CE BE DevOps Search DA Development PM,"T Map Mobility Co., Ltd.",company Logo,South Korea,"Map of Jung-gu, Seoul","Data Engineer, DevOps, Network, Infrastructure, Cloud",N/A,saramin.co.kr
12/05/2024,DevOps Engineer,Logistics giant WMS planning and operation,Main KYCG,company Logo,South Korea,"Jongno-gu, Seoul","SE System Engineer, DevOps, Java, Backend Server Development, Frontend",N/A,saramin.co.kr
11/25/2024,DevOps Engineer,QA Engineer Cloud Business Unit,Jurakuten Symphony Korea,company Logo,South Korea,"Map of Seocho-gu, Seoul","DevOps, Python, Docker, QA Tester, PaaS",N/A,saramin.co.kr
12/04/2024,DevOps Engineer,Crevice Backend Engineer Manager,JooRinK & Scout,company Logo,South Korea,"Map of Seongdong-gu, Seoul","DevOps, Cloud, Python, Docker, Backend Server Development",N/A,saramin.co.kr
12/09/2024,DevOps Engineer,Engineer S Fabless SoC DRAM Design at a Famous Semiconductor,Line search,company Logo,South Korea,"Map of Bundang-gu, Seongnam-si, Gyeonggi-do","DevOps, Technical Engineer, Linux, Python, Production",N/A,saramin.co.kr
12/03/2024,DevOps Engineer,ICT Solutions Company Research Institute Director,Jumanpowerkorea,company Logo,South Korea,"Map of Gangseo-gu, Seoul","Data Engineer, DevOps, Network, Solutions, Cloud",N/A,saramin.co.kr
12/10/2024,DevOps Engineer,Vision Development Team Vision SW Part Career Recruitment,Jukressem,company Logo,South Korea,"Incheon Yeonsu-gu, Incheon as a whole","SE System Engineer, DevOps, Maintenance, Infrastructure, C",N/A,saramin.co.kr
11/25/2024,DevOps Engineer,Embedded Linux firmware development for medical R&D management,Judy Altec,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Seongnam-si","SE System Engineer, DevOps, Linux, Infrastructure, AWS",N/A,saramin.co.kr
12/11/2024,DevOps Engineer,System engineerApplication engineer,Jutomo Cube,company Logo,South Korea,"Daejeon whole, Daejeon Yuseong-gu","SE System Engineer, DevOps, Infrastructure, Solutions, Python",N/A,saramin.co.kr
11/29/2024,DevOps Engineer,AI  Computer Vision,Jubigles,company Logo,South Korea,"Map of Bundang-gu, Seongnam-si, Gyeonggi-do","DevOps, Cloud, AWS, Machine Learning, Image Processing",N/A,saramin.co.kr
11/18/2024,DevOps Engineer,Hiring System Engineers,Laon People Co.,company Logo,South Korea,"Map of Gwacheon-si, Gyeonggi-do","SE System Engineer, DevOps, Network, Infrastructure, Solutions",N/A,saramin.co.kr
12/11/2024,DevOps Engineer,Cloit TA AA Consultant Job Title Recruitment Experience,Jukloit,company Logo,South Korea,"Map of Jung-gu, Seoul","SE System Engineer, DevOps, Network, Linux, Maintenance",N/A,saramin.co.kr
12/04/2024,DevOps Engineer,Logistics system development PL experience 16 years 20 years,Korea Networks,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Seongnam-si","SE System Engineer, DevOps, Infrastructure, Solutions, Java",N/A,saramin.co.kr
12/04/2024,DevOps Engineer,Logistics system development PL experience 11 years 15 years,Korea Networks,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Seongnam-si","SE System Engineer, DevOps, Infrastructure, Solutions, Java",N/A,saramin.co.kr
12/04/2024,DevOps Engineer,Logistics system development PL experience 6 years 10 years,Korea Networks,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Seongnam-si","SE System Engineer, DevOps, Infrastructure, Solutions, Java",N/A,saramin.co.kr
11/25/2024,DevOps Engineer,Medical Research and Development Management Sector System HW Development,Judy Altec,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Seongnam-si","SE System Engineer, DevOps, Infrastructure, Embedded, HW",N/A,saramin.co.kr
12/04/2024,DevOps Engineer,New System Engineer,Stock price data,company Logo,South Korea,"Gyeongnam whole, Gyeongnam Jinju city","SE System Engineer, DevOps, Linux, Infrastructure, Solutions",N/A,saramin.co.kr
12/04/2024,DevOps Engineer,AI Startup Software EngineerDjango 48 years old,In Korea Professional,company Logo,South Korea,"Map of Jung-gu, Seoul","DevOps, Infrastructure, Solutions, Cloud, Python",N/A,saramin.co.kr
12/06/2024,DevOps Engineer,Java Backend DeveloperWATA IncPangyo,Joowattaaiai,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Seongnam-si","SE System Engineer, DevOps, Linux, Infrastructure, Solutions",N/A,saramin.co.kr
11/29/2024,DevOps Engineer,ICT Solutions Company Technical Architect,Jumanpowerkorea,company Logo,South Korea,"Map of Gangseo-gu, Seoul","Data Engineer, DevOps, Network, Infrastructure, Solutions",N/A,saramin.co.kr
,DevOps Engineer,THAT,THAT,company Logo,South Korea,THAT,"SE System Engineer, Data Engineer, DevOps, Technology Engineer, Process Engineer",N/A,saramin.co.kr
,DevOps Engineer,THAT,THAT,company Logo,South Korea,THAT,"DevOps, Technical Engineer, Linux, Python, C",N/A,saramin.co.kr
11/04/2024,DevOps Engineer,Cloit Enterprise Industry Career Open Recruitment,Jukloit,company Logo,South Korea,"Map of Jung-gu, Seoul","Data Engineer, DevOps, Network, Linux, Maintenance",N/A,saramin.co.kr
11/20/2024,DevOps Engineer,Acoustic Signal Processing Engineer,JUSM Instruments,company Logo,South Korea,"Daejeon Yuseong-gu, Daejeon entire map","SE System Engineer, Data Engineer, DevOps, Technology Engineer, Solution",N/A,saramin.co.kr
11/28/2024,DevOps Engineer,System Security Cloud Career Recruitment,Jooen Sam,company Logo,South Korea,"Map of Songpa-gu, Seoul","Data Engineer, DevOps, Network, Maintenance, Infrastructure",N/A,saramin.co.kr
10/22/2024,DevOps Engineer,AWS Managed Service Enterprise Cloud Engineer 채용,Megazone Cloud Stock,company Logo,South Korea,"Map of Gwacheon-si, Gyeonggi-do","DevOps, Linux, Maintenance, Infrastructure, Technical Support",N/A,saramin.co.kr
12/04/2024,DevOps Engineer,Managed Services Team Hosting System Engineer Recruitment,Cafe24 weeks,company Logo,South Korea,"Map of Dongjak-gu, Seoul","DevOps, Network, Linux, Infrastructure, Solutions",N/A,saramin.co.kr
11/22/2024,DevOps Engineer,SI Project Minsu Public PM Career Full-time Recruitment,JIUBMS,company Logo,South Korea,"Map of Mapo-gu, Seoul","SE System Engineer, DevOps, Maintenance, Technical Support, Cloud",N/A,saramin.co.kr
11/22/2024,DevOps Engineer,SI project development in progress hiring for advanced or higher level positions,JIUBMS,company Logo,South Korea,"Map of Mapo-gu, Seoul","SE System Engineer, DevOps, Maintenance, Technical Support, Cloud",N/A,saramin.co.kr
11/25/2024,DevOps Engineer,Development of medical research and development management system firmware,Judy Altec,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Seongnam-si","SE System Engineer, DevOps, Infrastructure, C, AWS",N/A,saramin.co.kr
11/25/2024,DevOps Engineer,Development of medical research and development management system firmware,Judy Altec,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Seongnam-si","SE System Engineer, DevOps, Infrastructure, C, AWS",N/A,saramin.co.kr
11/28/2024,DevOps Engineer,Life Insurance Backend DeveloperSeniorPM 0 people Full-time Assistant Manager level,"Synergy Partners Co., Ltd.",company Logo,South Korea,"Map of Yeongdeungpo-gu, Seoul","DevOps, Cloud, Java, Backend Server Development, Life Insurance Company",N/A,saramin.co.kr
12/02/2024,DevOps Engineer,3 days a week remote work emergency training full-time recruitment for all positions,Emergency training,company Logo,South Korea,"Map of Gwacheon-si, Gyeonggi-do","SE System Engineer, DevOps, Linux, Maintenance, Infrastructure",N/A,saramin.co.kr
11/18/2024,DevOps Engineer,Service Platform Team Backend Engineer Recruitment,Laon People Co.,company Logo,South Korea,"Map of Gwacheon-si, Gyeonggi-do","DevOps, Infrastructure, Solutions, Python, Java",N/A,saramin.co.kr
11/20/2024,DevOps Engineer,Hiring FI System Development Engineer New and Experienced 14 Years,ASEIIcheon Anju,company Logo,South Korea,"Cheonan City, South Chungcheong Province, South Chungcheong Province as a whole","SE System Engineer, DevOps, Infrastructure, Solutions, Technical Support",N/A,saramin.co.kr
12/04/2024,DevOps Engineer,Career Systems Engineer,Stock price data,company Logo,South Korea,"Gyeongnam whole, Gyeongnam Jinju city","SE System Engineer, DevOps, Linux, Infrastructure, Solutions",N/A,saramin.co.kr
11/18/2024,DevOps Engineer,AI Platform Backend Developer Recruitment,Laon People Co.,company Logo,South Korea,"Map of Gwacheon-si, Gyeonggi-do","DevOps, Infrastructure, Solutions, Python, Docker",N/A,saramin.co.kr
12/09/2024,DevOps Engineer,Server and Infrastructure Developer,Main data maker,company Logo,South Korea,"Daejeon whole, Daejeon Yuseong-gu","SE System Engineer, DevOps, Network, Linux, Infrastructure",N/A,saramin.co.kr
12/05/2024,DevOps Engineer,Recruitment by sector including career sales development engineer SA,Saltware stock,company Logo,South Korea,"Map of Gwacheon-si, Gyeonggi-do","Data Engineer, DevOps, Network, Linux, Maintenance",N/A,saramin.co.kr
11/21/2024,DevOps Engineer,DevOps5+ years,Main site,company Logo,South Korea,"Map of Geumcheon-gu, Seoul","DevOps, Linux, Infrastructure, Cloud, Big Data",N/A,saramin.co.kr
10/14/2024,DevOps Engineer,Google CloudEngineerSales Recruitment,"Megazone Soft Co., Ltd.",company Logo,South Korea,"Map of Gwacheon-si, Gyeonggi-do","Data Engineer, DevOps, Maintenance, Cloud, Python",N/A,saramin.co.kr
11/14/2024,DevOps Engineer,Recruiting Watt Development Professionals,Wattju,company Logo,South Korea,"Map of Seocho-gu, Seoul","Data Engineer, DevOps, Network, Cloud, Python",N/A,saramin.co.kr
12/05/2024,DevOps Engineer,Solution EngineerSystem EngineerSE Recruitment,Jui Papyrus,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Seongnam-si","SE System Engineer, DevOps, Network, Linux, Infrastructure",N/A,saramin.co.kr
12/04/2024,DevOps Engineer,Recruiting autonomous inspection drone robot developer experience,Sisierra Base,company Logo,South Korea,"Ulsan whole, Ulsan Nam-gu","SE System Engineer, DevOps, Infrastructure, Python, C",N/A,saramin.co.kr
12/02/2024,DevOps Engineer,AI Engineer  Computer Vision,Jubigles,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Seongnam-si","SE System Engineer, DevOps, Infrastructure, Cloud, Python",N/A,saramin.co.kr
12/02/2024,DevOps Engineer,AI Engineer  Team Lead,Jubigles,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Seongnam-si","SE System Engineer, DevOps, Infrastructure, Cloud, Python",N/A,saramin.co.kr
12/04/2024,DevOps Engineer,Domestic famous media company developer,Caliber Global Search Ltd.,company Logo,South Korea,"Map of Seocho-gu, Seoul","Data Engineer, DevOps, Maintenance, Technical Support, Cloud",N/A,saramin.co.kr
11/26/2024,DevOps Engineer,ZeroEyes Development Team Lead,Long time no see,company Logo,South Korea,"Busan whole, Busan Haeundae-gu","SE System Engineer, DevOps, Infrastructure, Solutions, Cloud",N/A,saramin.co.kr
12/03/2024,DevOps Engineer,Hardware Design SUB Team Member Researcher Recruitment Announcement,"LC Tech Co., Ltd.",company Logo,South Korea,"Gyeongbuk whole, Gumi city, Gyeongbuk","SE System Engineer, DevOps, Infrastructure, Production Technology, CAD",N/A,saramin.co.kr
12/04/2024,DevOps Engineer,BackEnd Server Development Machine Manufacturing Industry Group IT Affiliate,Jubibi Partners,company Logo,South Korea,"Map of Seocho-gu, Seoul","SE System Engineer, DevOps, Network, Maintenance, Cloud",N/A,saramin.co.kr
11/26/2024,DevOps Engineer,DevOps Consultant Coach Hiring Experience,Infograbyou,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Seongnam-si","SE System Engineer, DevOps, Infrastructure, Solutions, Technical Support",N/A,saramin.co.kr
12/03/2024,DevOps Engineer,FW Hardware Recruitment Notice for Team Leader Level,"LC Tech Co., Ltd.",company Logo,South Korea,"Gyeongbuk whole, Gumi city, Gyeongbuk","SE System Engineer, DevOps, Infrastructure, Production Technology, CAD",N/A,saramin.co.kr
12/03/2024,DevOps Engineer,SW Pro-level job posting,"LC Tech Co., Ltd.",company Logo,South Korea,"Gyeongbuk whole, Gumi city, Gyeongbuk","SE System Engineer, DevOps, Maintenance, Infrastructure, C",N/A,saramin.co.kr
06/22/2023,DevOps Engineer,Full-funded AiJAVA full-stack AWS cloud security job-linked recruitment,Korea Technical Education Vocational College,company Logo,South Korea,"Busan Dongrae-gu, Busan as a whole, Geumjeong-gu, Gijang-gun, Nam-gu, Busanjin-gu, Buk-gu, Suyeong-gu, Yeonje-gu, Haeundae-gu","SE System Engineer, Data Engineer, DevOps, Network, Maintenance",N/A,saramin.co.kr
12/03/2024,DevOps Engineer,Hardware Design Professional Job Posting,"LC Tech Co., Ltd.",company Logo,South Korea,"Gyeongbuk whole, Gumi city, Gyeongbuk","SE System Engineer, DevOps, Infrastructure, Production Technology, CAD",N/A,saramin.co.kr
11/30/2023,DevOps Engineer,CloudPlatform Engineer,Jumusic Cow,company Logo,South Korea,"Jung-gu, Seoul","DevOps, AWS, ISMS, Kubernetes, Software Development",N/A,saramin.co.kr
12/02/2024,DevOps Engineer,EvryAI Backend Developer Recruitment,"PRSI Co., Ltd.",company Logo,South Korea,"Gangwon Wonju City, Gangwon Province","SE System Engineer, DevOps, Linux, Infrastructure, Solutions",N/A,saramin.co.kr
12/01/2024,DevOps Engineer,Smart Logistics IT Solution Developer Recruitment,Altiolju,company Logo,South Korea,"Incheon Yeonsu-gu, Incheon as a whole","SE System Engineer, DevOps, Linux, Infrastructure, Cloud",N/A,saramin.co.kr
12/01/2024,DevOps Engineer,Logistics Automation Operation System Research Developer,Altiolju,company Logo,South Korea,"Incheon Yeonsu-gu, Incheon as a whole","SE System Engineer, DevOps, Linux, Solutions, Python",N/A,saramin.co.kr
12/04/2024,DevOps Engineer,Autonomous Inspection Drone Robot Developer Recruitment New Master's Degree or higher,Sisierra Base,company Logo,South Korea,"Ulsan whole, Ulsan Nam-gu","SE System Engineer, DevOps, Infrastructure, Python, C",N/A,saramin.co.kr
10/11/2024,DevOps Engineer,Recruitment of trainees for the full-stack training course based on the national framework React,Jaedaeduk Human Resources Development Center,company Logo,South Korea,Daejeon Jung-gu Map,"SE System Engineer, Data Engineer, DevOps, Linux, Maintenance",N/A,saramin.co.kr
10/25/2024,DevOps Engineer,New Tech Support EngineerSolution Engineering,JST Lab,company Logo,South Korea,"Map of Gangnam-gu, Seoul","SE System Engineer, DevOps, Linux, Maintenance, Infrastructure",N/A,saramin.co.kr
12/04/2024,DevOps Engineer,Nutzy Healthcare Backend Development Recruitment Conversion Intern,"Nutzy Healthcare Co., Ltd.",company Logo,South Korea,"Map of Gangnam-gu, Seoul","SE System Engineer, DevOps, Network, Maintenance, Solutions",N/A,saramin.co.kr
12/11/2024,DevOps Engineer,Control Robot Team PLC Electrical Control Robot Engineer Recruitment New Hire,Gyeonggi Industrial Complex,company Logo,South Korea,Gyeonggi Siheung City Map,"SE System Engineer, DevOps, Technical Engineer, Technical Design, PLC",N/A,saramin.co.kr
10/17/2024,DevOps Engineer,Remote Software Engineer Elixir backend LLMs,"FUNCTIONAL EFFECTS Co, Ltd",company Logo,South Korea,"Map of telecommuting available in Yeonsu-gu, Incheon","DevOps, Python, AI, AWS, Backend Server Development",N/A,saramin.co.kr
12/11/2024,DevOps Engineer,DeepXAI Semiconductor Engineer Specialist Researcher Permanent Recruitment,JudeepX,company Logo,South Korea,"Map of Bundang-gu, Seongnam-si, Gyeonggi-do","DevOps, Linux, Maintenance, Python, C",N/A,saramin.co.kr
11/25/2024,DevOps Engineer,2024 Judacare IT Human Resources Information Innovation Department All Departments Open Recruitment,Juder Carry,company Logo,South Korea,"Map of Gangnam-gu, Seoul","Infrastructure, Solutions, Python, Java, Data Analyst",N/A,saramin.co.kr
11/20/2024,DevOps Engineer,Information Security Vulnerability Analysis and CERT Career Recruitment,Juklumel,company Logo,South Korea,"Seoul Gangnam-gu, Seoul entire map","SE System Engineer, Maintenance, Solutions, Web Development, Docker",N/A,saramin.co.kr
12/02/2024,DevOps Engineer,Solution Engineer Career Recruitment,Juklumel,company Logo,South Korea,"Seoul Gangnam-gu, Seoul entire map","Network, Maintenance, Infrastructure, Solutions, Technical Support",N/A,saramin.co.kr
11/21/2024,DevOps Engineer,Full Stack Engineer Python C Developer Full Stack Developer,NIMBYX CAPITAL INC,company Logo,South Korea,"Map of working from home in Gangnam-gu, Seoul","Python, C, SQL, ASP, ASPNET",N/A,saramin.co.kr
11/18/2024,DevOps Engineer,Military Service Special Backend Development Nodejs Industrial Functional Agent Recruitment,"Nutzy Healthcare Co., Ltd.",company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, Infrastructure, SQL, Web Development, AWS",N/A,saramin.co.kr
12/06/2024,DevOps Engineer,Backend Engineer Web Service Design Management 1015 years of experience,Joo Angel Robotics,company Logo,South Korea,"Seongdong-gu, Seoul, the whole of Seoul","SE System Engineer, Infrastructure, Java, SQL, Web Development",N/A,saramin.co.kr
12/06/2024,DevOps Engineer,Backend Engineer Web Service Design Management 510 years of experience,Joo Angel Robotics,company Logo,South Korea,"Seongdong-gu, Seoul, the whole of Seoul","SE System Engineer, Infrastructure, Java, SQL, Web Development",N/A,saramin.co.kr
12/01/2024,DevOps Engineer,Fullstack Developer Recruitment,"Bytesize Co., Ltd.",company Logo,South Korea,Busan Busanjin-gu map,"Data Engineer, Python, Java, AWS, Backend Server Development",N/A,saramin.co.kr
11/13/2024,DevOps Engineer,PublicAI MLops Platform Engineer,Public AI,company Logo,South Korea,"Map of Seocho-gu, Seoul","Python, SQL, AWS, Machine Learning, Azure",N/A,saramin.co.kr
12/05/2024,DevOps Engineer,DealMakers BE Python Software Engineer 모집,Mr. Jukkum,company Logo,South Korea,Busan Nam-gu Map,"Python, C, Java, Big Data, Data Visualization",N/A,saramin.co.kr
11/26/2024,DevOps Engineer,Recruiting REACT PHP PYTHON Developers to Work from Home,Happy Shopping Week,company Logo,South Korea,"Map of working from home in Yangcheon-gu, Seoul","Infrastructure, Solutions, Python, Big Data, SQL",N/A,saramin.co.kr
12/04/2024,DevOps Engineer,2024 Angel Robotics Recruitment Announcement for Each Field,Joo Angel Robotics,company Logo,South Korea,"Gyeonggi Hanam City, Seoul Seongdong-gu, Daejeon Daedeok-gu","SE System Engineer, Data Engineer, Robot Engineer, Network, Maintenance",N/A,saramin.co.kr
12/05/2024,DevOps Engineer,Infra Technical Architect,Main stage,company Logo,South Korea,"Gyeonggi Province, Gyeonggi Province Yongin City","SE System Engineer, Network, Linux, Infrastructure, Solutions",N/A,saramin.co.kr
12/11/2024,DevOps Engineer,Hiring System Engineers,Jubroadband IDC,company Logo,South Korea,"Gyeonggi Seongnam-si Bundang-gu, Seongnam-si, Seongnam-si Sujeong-gu, Suwon-si, Yongin-si, Seoul entire map","SE System Engineer, Network, Linux, Python, IDC",N/A,saramin.co.kr
12/11/2024,DevOps Engineer,Recruiting instructors in the field of information technology development including AWS cloud and information security,Jooyeonse Education Academy,company Logo,South Korea,"Gyeonggi Suwon-si Jangan-gu, Seongnam-si, Suwon-si, Ansan-si, Yongin-si, Seoul, Seoul Gwanak-gu, Guro-gu, Dongjak-gu, Yeongdeungpo-gu map","DevOps, Network, Linux, Cloud, Python",N/A,saramin.co.kr
03/02/2022,DevOps Engineer,Experience in designing and building AWS infrastructure,"Class Method Korea Co., Ltd.",company Logo,South Korea,"Jung-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Network, Infrastructure, Cloud",N/A,saramin.co.kr
06/27/2024,DevOps Engineer,Full Stack Developer Cloud Management Platform,Orchestra,company Logo,South Korea,"All of Seoul, Yeongdeungpo-gu, Seoul","SE System Engineer, DevOps, Linux, Cloud, Java",N/A,saramin.co.kr
11/05/2024,DevOps Engineer,DevOps Engineer Information Security Engineer,Jooeast Games,company Logo,South Korea,"Map of Seocho-gu and Gangnam-gu, Seoul","SE System Engineer, DevOps, Network, Linux, Infrastructure",N/A,saramin.co.kr
11/25/2024,DevOps Engineer,Daekyo Megazone Cloud DevOps Engineer,Definition stock,company Logo,South Korea,"Map of Gangnam-gu, Seoul","DevOps, Maintenance, Infrastructure, Cloud, Python",N/A,saramin.co.kr
10/25/2024,DevOps Engineer,Recruiting experienced security SW cloud DevOps engineers,Soft Camp Week,company Logo,South Korea,"Map of Gwacheon-si, Gyeonggi-do","SE System Engineer, DevOps, Network, Linux, Technical Support",N/A,saramin.co.kr
12/04/2024,DevOps Engineer,QA EngineerDevOps Engineer Recruitment,Brand Engagement Network Inc. Sales Office,company Logo,South Korea,"Map of Yongsan-gu, Seoul","DevOps, Linux, Solutions, Cloud, Python",N/A,saramin.co.kr
11/19/2024,DevOps Engineer,Recruitment for DevOps Infra Engineer position,Legal framework,company Logo,South Korea,"Map of Seongdong-gu, Seoul","SE System Engineer, DevOps, Network, Linux, Infrastructure",N/A,saramin.co.kr
11/29/2024,DevOps Engineer,devops system engineer,Jooebiztech,company Logo,South Korea,"Mapo-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Linux, Maintenance, Infrastructure",N/A,saramin.co.kr
11/27/2024,DevOps Engineer,DevOps engineer experience of 3+ years,Jukrebus,company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Network, Linux, Infrastructure",N/A,saramin.co.kr
11/18/2024,DevOps Engineer,Hiring a DevOps Engineer,"Bespin Global Co., Ltd.",company Logo,South Korea,"Map of Seocho-gu, Seoul","DevOps, Infrastructure, Cloud, Python, Java",N/A,saramin.co.kr
11/26/2024,DevOps Engineer,DevOps Engineer Recruitment Experience,Infograbyou,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Seongnam-si","SE System Engineer, DevOps, Infrastructure, Solutions, Cloud",N/A,saramin.co.kr
11/20/2024,DevOps Engineer,Aconsoft DevOps Engineer Recruitment 3+ Years,"Aconsoft Co., Ltd.",company Logo,South Korea,"Map of Gangseo-gu, Seoul","DevOps, Linux, Infrastructure, Cloud, Java",N/A,saramin.co.kr
11/18/2024,DevOps Engineer,DevOps Engineer,Pasto,company Logo,South Korea,"Map of Gangnam-gu, Seoul","DevOps, Infrastructure, Cloud, C, Web Development",N/A,saramin.co.kr
10/28/2024,DevOps Engineer,Senior DevOps Engineer,Jurakuten Symphony Korea,company Logo,South Korea,"Map of Seocho-gu, Seoul","DevOps, Maintenance, Infrastructure, Python, AWS",N/A,saramin.co.kr
11/29/2024,DevOps Engineer,DevOps Engineer,Juthor Drive,company Logo,South Korea,"All of Seoul, Yeongdeungpo-gu, Seoul","SE System Engineer, DevOps, Network, Infrastructure, C",N/A,saramin.co.kr
10/21/2024,DevOps Engineer,Cloud EngineerDevOps Engineer Recruitment 1+ years of experience,"MTDATA Co., Ltd.",company Logo,South Korea,"Map of Bundang-gu, Seongnam-si, Gyeonggi-do","SE System Engineer, Solutions, Technical Support, Cloud, Python",N/A,saramin.co.kr
12/06/2024,DevOps Engineer,키퍼 DevOps Engineer,Hanwha Vision stock,company Logo,South Korea,"Gyeonggi-do, Gyeonggi-do Seongnam-si","SE System Engineer, DevOps, Infrastructure, Cloud, Web Development",N/A,saramin.co.kr
12/09/2024,DevOps Engineer,Hiring DevOps Engineers,Juicious Lab,company Logo,South Korea,"Seocho-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Network, Linux, Infrastructure",N/A,saramin.co.kr
12/09/2024,DevOps Engineer,DevOps Engineer,"Organize Korea Co., Ltd.",company Logo,South Korea,"Gangnam-gu, Seoul, the whole of Seoul","SE System Engineer, DevOps, Linux, Infrastructure, Cloud",N/A,saramin.co.kr
12/06/2024,DevOps Engineer,Hiring DevOps Engineer Experienced Staff,MS Korea,company Logo,South Korea,Incheon Gyeyang-gu map,"DevOps, Solutions, Web Development, App Development, Outsourcing",N/A,saramin.co.kr
12/09/2024,DevOps Engineer,Cloud construction and DevOps Engineer in AWS environment at Daewoong Pharmaceutical Partner,Jubibi Partners,company Logo,South Korea,"Map of Bundang-gu, Seongnam-si, Gyeonggi-do","SE System Engineer, DevOps, Network, Maintenance, Infrastructure",N/A,saramin.co.kr
